"alpha","beta","gamma","q_factor","q","abs_z","val_series","val_integrate","val_dispatch","val_ref","series_returned_nan","rel_err_series","rel_err_integrate","rel_err_dispatch","ref_iterations","ref_reached_max"
1,1,18,0.333333333333333,3.01840559652405,18,1.34549065758261e-17,1.34549065758262e-17,0,1.34549065758263e-17,FALSE,9.73349279538119e-15,2.6337686387502e-15,1,252,FALSE
1.5,1,18,0.333333333333333,3.02752523165195,18,8.60324643645193e-18,8.60324643645199e-18,8.60324643645193e-18,8.60324643645198e-18,FALSE,5.90992608515717e-15,1.25362068473031e-15,5.90992608515717e-15,253,FALSE
3,1,18,0.333333333333333,3.0545631755148,18,2.26046743185378e-18,2.2604674318538e-18,2.26046743185378e-18,2.2604674318538e-18,FALSE,9.20165586386003e-15,2.21521344870704e-15,9.20165586386003e-15,253,FALSE
10,1,18,0.333333333333333,3.17497927018681,18,4.82835596594304e-21,4.82835596594311e-21,4.82835596594304e-21,4.8283559659431e-21,FALSE,1.30882181732147e-14,1.09068484776789e-15,1.30882181732147e-14,255,FALSE
0.3,1,20,0.333333333333333,3.33832585574931,20,4.87631501352769e-21,4.87631501352773e-21,4.87631501352769e-21,4.87631501352776e-21,FALSE,1.29594942338412e-14,5.86262834388054e-15,1.29594942338412e-14,265,FALSE
0.7,1,20,0.333333333333333,3.34495945002321,20,3.41156518818626e-21,3.41156518818629e-21,3.41156518818626e-21,3.41156518818628e-21,FALSE,5.51298555814951e-15,1.54363595628186e-15,5.51298555814951e-15,265,FALSE
1,1,20,0.333333333333333,3.34991748972701,20,2.61050855263825e-21,2.61050855263829e-21,0,2.61050855263828e-21,FALSE,1.32566329473364e-14,1.00865685468864e-15,1,265,FALSE
1.5,1,20,0.333333333333333,3.35814859418204,20,1.67203578867972e-21,1.67203578867973e-21,1.67203578867972e-21,1.67203578867973e-21,FALSE,5.06182904888864e-15,2.13721670953076e-15,5.06182904888864e-15,265,FALSE
3,1,20,0.333333333333333,3.38260502349783,20,4.41083011177481e-22,4.41083011177484e-22,4.41083011177481e-22,4.41083011177486e-22,FALSE,1.08732751654882e-14,3.83762652899585e-15,1.08732751654882e-14,266,FALSE
10,1,20,0.333333333333333,3.49240852501722,20,9.43203350472297e-25,9.43203350472311e-25,9.43203350472297e-25,9.4320335047231e-25,FALSE,1.38259055673462e-14,3.89462128657641e-16,1.38259055673462e-14,268,FALSE
0.3,1,22,0.333333333333333,3.6712065002787,22,3.91875290731712e-25,3.91875290731715e-25,3.91875290731712e-25,3.91875290731716e-25,FALSE,8.5537304572273e-15,1.52326706772541e-15,8.5537304572273e-15,279,FALSE
0.7,1,22,0.333333333333333,3.67724222479191,22,2.74485395063704e-25,2.74485395063696e-25,2.74485395063704e-25,2.74485395063696e-25,FALSE,2.87733074750826e-14,3.34573342733518e-16,2.87733074750826e-14,279,FALSE
1,1,22,0.333333333333333,3.68175608440157,22,2.10207168463706e-25,2.10207168463706e-25,0,2.10207168463707e-25,FALSE,5.02413030695117e-15,5.02413030695117e-15,1,279,FALSE
1.5,1,22,0.333333333333333,3.68925478761001,22,1.34808049983949e-25,1.34808049983949e-25,1.34808049983949e-25,1.34808049983949e-25,FALSE,6.81231544918315e-16,6.81231544918315e-16,6.81231544918315e-16,279,FALSE
3,1,22,0.333333333333333,3.71157127826411,22,3.56696763590792e-26,3.56696763590792e-26,3.56696763590792e-26,3.56696763590792e-26,FALSE,3.21826217434321e-16,3.21826217434321e-16,3.21826217434321e-16,280,FALSE
10,1,22,0.333333333333333,3.81239034783965,22,7.63687798773087e-29,7.63687798773087e-29,7.63687798773087e-29,7.63687798773088e-29,FALSE,1.02754966267971e-15,1.02754966267971e-15,1.02754966267971e-15,282,FALSE
0.3,1,25,0.333333333333333,4.17066283402182,25,5.41438267499318e-32,5.41438267499334e-32,5.41438267499318e-32,5.41438267499336e-32,FALSE,3.3766667410076e-14,5.25708594408369e-15,3.3766667410076e-14,305,FALSE
0.7,1,25,0.333333333333333,4.17597918647396,25,3.79720441095898e-32,3.79720441095903e-32,3.79720441095898e-32,3.79720441095906e-32,FALSE,2.16231003148167e-14,7.35185410703768e-15,2.16231003148167e-14,305,FALSE
1,1,25,0.333333333333333,4.17995760423485,25,2.91054695481721e-32,2.91054695481734e-32,0,2.91054695481731e-32,FALSE,3.55449473217566e-14,7.14660316522091e-15,1,305,FALSE
1.5,1,25,0.333333333333333,4.18657157735399,25,1.86910091464888e-32,1.86910091464893e-32,1.86910091464888e-32,1.86910091464894e-32,FALSE,3.04572908113354e-14,2.05000995845527e-15,3.04572908113354e-14,305,FALSE
3,1,25,0.333333333333333,4.20628986714283,25,4.96184467520022e-33,4.96184467520036e-33,4.96184467520022e-33,4.9618446752004e-33,FALSE,3.48881587544374e-14,6.48119945240537e-15,3.48881587544374e-14,306,FALSE
10,1,25,0.333333333333333,4.29598634122529,25,1.06417894249248e-35,1.0641789424925e-35,1.06417894249248e-35,1.06417894249251e-35,FALSE,2.72505834747847e-14,1.30601874717862e-14,2.72505834747847e-14,310,FALSE
0.3,1,50,0.333333333333333,8.33533285356359,50,8.99930046918489e-123,8.99930046918386e-123,8.99930046918489e-123,8.99930046918459e-123,FALSE,3.32933960171062e-14,8.04714818530056e-14,3.32933960171062e-14,782,FALSE
0.7,1,50,0.333333333333333,8.33799738958951,50,6.33151428830307e-123,6.33151428830271e-123,6.33151428830307e-123,6.33151428830336e-123,FALSE,4.49873338337158e-14,1.01858114340489e-13,4.49873338337158e-14,782,FALSE
1,1,50,0.333333333333333,8.33999467518297,50,4.86405541535686e-123,4.86405541535686e-123,0,4.86405541535695e-123,FALSE,1.9750109761272e-14,1.9750109761272e-14,1,782,FALSE
1.5,1,50,0.333333333333333,8.34332136204722,50,3.1345988988538e-123,3.1345988988538e-123,3.1345988988538e-123,3.13459889885391e-123,FALSE,3.5576080699316e-14,3.5576080699316e-14,3.5576080699316e-14,782,FALSE
3,1,50,0.333333333333333,8.35328556236016,50,8.39403724439974e-124,8.39403724439926e-124,8.39403724439974e-124,8.3940372443998e-124,FALSE,8.00315260937043e-15,6.48255361359005e-14,8.00315260937043e-15,783,FALSE
10,1,50,0.333333333333333,8.39947503306676,50,1.81265149954871e-126,1.81265149954861e-126,1.81265149954871e-126,1.81265149954867e-126,FALSE,2.6601434570452e-14,3.02206773691529e-14,2.6601434570452e-14,786,FALSE
0.3,1,100,0.333333333333333,16.6676666066739,100,0,0,0,0,FALSE,0,0,0,2271,FALSE
0.7,1,100,0.333333333333333,16.6689996734248,100,0,0,0,0,FALSE,0,0,0,2271,FALSE
1,1,100,0.333333333333333,16.6699993335999,100,0,0,0,0,FALSE,0,0,0,2271,FALSE
1.5,1,100,0.333333333333333,16.671665167566,100,0,0,0,0,FALSE,0,0,0,2271,FALSE
3,1,100,0.333333333333333,16.6766606738559,100,0,0,0,0,FALSE,0,0,0,2270,FALSE
10,1,100,0.333333333333333,16.6999335986741,100,0,0,0,0,FALSE,0,0,0,2266,FALSE
0.3,1,-100,1,0.00299982002159638,100,0.726974591010908,0.726974591010908,0.726974591010908,0.726974591010908,FALSE,1.52718270810719e-16,6.10873083242876e-16,1.52718270810719e-16,200,FALSE
0.7,1,-100,1,0.00699902027430355,100,0.656618839336564,0.656618839336564,0.656618839336564,0.656618839336564,FALSE,8.45409054777431e-16,0,8.45409054777431e-16,200,FALSE
