"experiment","alpha","gamma","sign_gamma","abs_z","q_factor","q","log_val_double","log_val_mpfr","double_returned_nan","rel_err"
"psi",1.5,50,1,50,NA,NA,627.874849955753,627.874849955753,FALSE,1.81066079855926e-16
"psi",1.5,75,1,75,NA,NA,1409.32763812971,1409.32763812971,FALSE,8.0667429379649e-16
"psi",1.5,100,1,100,NA,NA,2503.2214986212,2503.2214986212,FALSE,9.08324235663812e-16
"psi",1.5,150,1,150,NA,NA,5628.42424506815,5628.42424506815,FALSE,4.84768735709571e-16
"psi",3,-150,-1,150,NA,NA,5606.48154283254,NA,FALSE,NA
"psi",3,-100,-1,100,NA,NA,2479.97757653083,NA,FALSE,NA
"psi",3,-75,-1,75,NA,NA,NA,NA,TRUE,NA
"psi",3,-50,-1,50,NA,NA,NA,NA,TRUE,NA
"psi",3,-30,-1,30,NA,NA,NA,-8.83050016118592,TRUE,NA
"psi",3,-25,-1,25,NA,NA,NA,-8.28926365796968,TRUE,NA
"psi",3,-22,-1,22,NA,NA,94.4875088999479,-7.9111803305822,FALSE,12.9435412860819
"psi",3,-20,-1,20,NA,NA,NA,-7.63025375331782,TRUE,NA
"psi",3,-18,-1,18,NA,NA,NA,-7.32087802587623,TRUE,NA
"psi",3,-15,-1,15,NA,NA,29.3817154016369,-6.78919829002141,FALSE,5.32771501825501
"psi",3,-10,-1,10,NA,NA,NA,-5.63212231716742,TRUE,NA
"psi",3,-8,-1,8,NA,NA,-5.01809690705222,-5.01825405047499,FALSE,3.13143617661811e-05
"psi",3,-5,-1,5,NA,NA,-3.81214488921776,-3.81214488886644,FALSE,9.2157590011861e-11
"psi",3,-2,-1,2,NA,NA,-1.9891750839972,-1.98917508399717,FALSE,1.1720779987993e-14
"psi",3,-1,-1,1,NA,NA,-1.14425199114285,-1.14425199114285,FALSE,5.82156570345817e-16
"psi",3,1,1,1,NA,NA,1.12990151860182,1.12990151860182,FALSE,0
"psi",3,2,1,2,NA,NA,2.66146713299527,2.66146713299527,FALSE,0
"psi",3,5,1,5,NA,NA,9.42505284534306,9.42505284534306,FALSE,1.88471817458079e-16
"psi",3,8,1,8,NA,NA,20.0688725043784,20.0688725043785,FALSE,1.77026072492383e-16
"psi",3,10,1,10,NA,NA,29.504190575649,29.504190575649,FALSE,3.61241600886285e-16
"psi",3,15,1,15,NA,NA,61.5541677798461,61.5541677798462,FALSE,2.30867465644704e-16
"psi",3,18,1,18,NA,NA,86.6661151437314,86.6661151437315,FALSE,1.63972444035757e-16
"psi",3,20,1,20,NA,NA,105.875669850984,105.875669850984,FALSE,2.68444199412448e-16
"psi",3,22,1,22,NA,NA,127.065426386265,127.065426386265,FALSE,3.3551663389542e-16
"psi",3,25,1,25,NA,NA,162.570164302998,162.570164302998,FALSE,3.4965468051606e-16
"psi",3,30,1,30,NA,NA,231.683832282427,231.683832282427,FALSE,1.22674548113298e-16
"psi",3,50,1,50,NA,NA,632.704063453392,632.704063453392,FALSE,1.79684064459926e-16
"psi",3,75,1,75,NA,NA,1414.7645494818,1414.7645494818,FALSE,6.42859408730632e-16
"psi",3,100,1,100,NA,NA,2509.08975811435,2509.08975811434,FALSE,7.24959877446904e-16
"psi",3,150,1,150,NA,NA,5634.90057723549,5634.9005772355,FALSE,3.22807719251412e-16
"psi",10,-150,-1,150,NA,NA,NA,5322.28442953983,TRUE,NA
"psi",10,-100,-1,100,NA,NA,NA,2194.16477663313,TRUE,NA
"psi",10,-75,-1,75,NA,NA,1410.34201776615,1098.39142080313,FALSE,0.284006767582837
"psi",10,-50,-1,50,NA,NA,625.458694605113,313.739724536247,FALSE,0.993559137369778
"psi",10,-30,-1,30,NA,NA,218.831894373945,-20.6362283321106,FALSE,11.6042582419693
"psi",10,-25,-1,25,NA,NA,148.474835225594,-18.8636873106425,FALSE,8.8709338625343
"psi",10,-22,-1,22,NA,NA,NA,-17.632724505851,TRUE,NA
"psi",10,-20,-1,20,NA,NA,89.5844843913849,-16.7229292067527,FALSE,6.35698520778351
"psi",10,-18,-1,18,NA,NA,70.3683900603685,-15.7267048486274,FALSE,5.47445226051342
"psi",10,-15,-1,15,NA,NA,NA,-14.0316594666466,TRUE,NA
"psi",10,-10,-1,10,NA,NA,NA,-10.4455117883991,TRUE,NA
"psi",10,-8,-1,8,NA,NA,-3.29245109791836,-8.62039115607703,FALSE,0.618062447711863
"psi",10,-5,-1,5,NA,NA,-5.24115249968748,-5.24116021295021,FALSE,1.47167085412409e-06
"psi",10,-2,-1,2,NA,NA,-0.734341195083442,-0.734341195087369,FALSE,5.34730700397317e-12
"psi",10,-1,-1,1,NA,NA,1.11411154174086,1.1141115417409,FALSE,3.42799357301581e-14
"psi",10,1,1,1,NA,NA,5.48549899032927,5.48549899032927,FALSE,1.61913878986388e-16
"psi",10,2,1,2,NA,NA,8.064945006036,8.064945006036,FALSE,0
"psi",10,5,1,5,NA,NA,17.7056112294906,17.7056112294906,FALSE,0
"psi",10,8,1,8,NA,NA,30.671760749519,30.671760749519,FALSE,1.15830118388499e-16
"psi",10,10,1,10,NA,NA,41.3824860992051,41.3824860992051,FALSE,3.43402633692299e-16
"psi",10,15,1,15,NA,NA,75.9503048579138,75.9503048579138,FALSE,0
"psi",10,18,1,18,NA,NA,102.253160366126,102.253160366126,FALSE,4.16931506008778e-16
"psi",10,20,1,20,NA,NA,122.162401877702,122.162401877702,FALSE,2.32655129512411e-16
"psi",10,22,1,22,NA,NA,143.990933081007,143.990933081007,FALSE,1.97385410471744e-16
"psi",10,25,1,25,NA,NA,180.359605531352,180.359605531352,FALSE,3.15167127879568e-16
"psi",10,30,1,30,NA,NA,250.716664679702,250.716664679702,FALSE,1.13361867934521e-16
"psi",10,50,1,50,NA,NA,655.264023369191,655.264023369191,FALSE,1.73497756121371e-16
"psi",10,75,1,75,NA,NA,1440.14734653023,1440.14734653023,FALSE,9.47293383518211e-16
