"alpha","beta","gamma","q_factor","q","abs_z","val_series","val_integrate","val_dispatch","val_ref","val_ref_quad","series_returned_nan","rel_err_series","rel_err_integrate","rel_err_dispatch","ref_iterations","ref_reached_max"
10,1,-50,0.333333333333333,0.0661416997334315,50,0.00231948018331489,0.00231948018331602,0.00231948018331489,0.00231948018331599,0.00231948018331603,FALSE,4.90991891273945e-13,4.30038594794392e-15,4.90991891273945e-13,203,FALSE
0.3,1,-25,0.333333333333333,0.00399616735515274,25,0.546105186162677,0.546105186162677,0.546105186162677,0.546105186162677,0.546105186162677,FALSE,2.03298385138287e-16,0,2.03298385138287e-16,200,FALSE
0.7,1,-25,0.333333333333333,0.00931251980729453,25,0.362026350743412,0.36202635074341,0.362026350743412,0.362026350743412,0.362026350743381,FALSE,8.60206882089923e-14,8.15739859664597e-14,8.60206882089923e-14,200,FALSE
1,1,-25,0.333333333333333,0.0132909375681874,25,0.283592478860083,0.283592478860083,0.283592478860129,0.283592478860083,0.283592478860083,FALSE,3.91485355707516e-16,7.82970711415032e-16,1.62270679940765e-13,200,FALSE
1.5,1,-25,0.333333333333333,0.0199049106873271,25,0.198744759556981,0.198744759557885,0.198744759556981,0.198744759556981,0.198744759556981,FALSE,6.98271885948049e-16,4.54854306506559e-12,6.98271885948049e-16,200,FALSE
3,1,-25,0.333333333333333,0.0396232004761661,25,0.0800097561146324,0.0800097561146326,0.0800097561146324,0.0800097561146325,0.0800097561146325,FALSE,1.73451194975914e-15,1.73451194975914e-15,1.73451194975914e-15,200,FALSE
10,1,-25,0.333333333333333,0.129319674558626,25,0.00221800725336519,0.00221800725336565,0.00221800725336519,0.00221800725336569,0.00221800725336566,FALSE,2.11364962252197e-13,1.75974529164642e-15,2.11364962252197e-13,202,FALSE
0.3,1,-22,0.333333333333333,0.00453983361202948,22,0.546160589559212,0.546160589559212,0.546160589559212,0.546160589559212,0.546160589559212,FALSE,2.03277762227623e-16,0,2.03277762227623e-16,200,FALSE
0.7,1,-22,0.333333333333333,0.0105755581252443,22,0.362079046149394,0.362079046149393,0.362079046149394,0.362079046149394,0.362079046149362,FALSE,8.84611650441185e-14,8.30952364885828e-14,8.84611650441185e-14,200,FALSE
1,1,-22,0.333333333333333,0.0150894177349029,22,0.283627229912486,0.283627229912486,0.283627229912488,0.283627229912486,0.283627229912486,FALSE,1.95718694740226e-16,7.82874778960905e-16,6.26299823168724e-15,200,FALSE
